order_item_id,order_id,line_number,sku,product_name,product_category,quantity,unit_price,extended_price
OI0077,O0039,1,SKU-NOTE-007,Notebook,stationery,1,10.00,10.00
OI0078,O0039,2,SKU-MUG-002,Logo Mug,home,1,12.00,12.00
OI0079,O0040,1,SKU-MUG-002,Logo Mug,home,2,14.00,28.00
OI0080,O0040,2,SKU-PEN-013,Premium Pen,stationery,2,15.00,30.00
OI0081,O0041,1,SKU-TSHIRT-001,Classic Tee,apparel,1,17.00,17.00
OI0082,O0041,2,SKU-CABLE-010,USB-C Cable,electronics,1,22.00,22.00
OI0083,O0042,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,49.00,49.00
OI0084,O0042,2,SKU-BOTTLE-009,Steel Bottle,home,1,25.00,25.00
OI0085,O0043,1,SKU-BACKPACK-008,Travel Backpack,accessories,1,109.00,109.00
OI0086,O0043,2,SKU-CAP-006,Baseball Cap,accessories,2,27.50,55.00
OI0087,O0044,1,SKU-NOTE-007,Notebook,stationery,1,11.00,11.00
OI0088,O0044,2,SKU-MUG-002,Logo Mug,home,1,18.00,18.00
OI0089,O0045,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,42.00,42.00
OI0090,O0045,2,SKU-CABLE-010,USB-C Cable,electronics,1,20.00,20.00
OI0091,O0046,1,SKU-JACKET-005,Light Jacket,apparel,1,95.00,95.00
OI0092,O0046,2,SKU-BOTTLE-009,Steel Bottle,home,2,24.00,48.00
OI0093,O0047,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,52.00,52.00
OI0094,O0047,2,SKU-SOCK-004,Cotton Socks,apparel,4,9.00,36.00
OI0095,O0048,1,SKU-NOTE-007,Notebook,stationery,1,12.00,12.00
OI0096,O0048,2,SKU-PEN-013,Premium Pen,stationery,1,14.00,14.00
OI0097,O0049,1,SKU-JACKET-005,Light Jacket,apparel,1,88.00,88.00
OI0098,O0049,2,SKU-CAP-006,Baseball Cap,accessories,2,22.00,44.00
OI0099,O0050,1,SKU-TSHIRT-001,Classic Tee,apparel,1,33.00,33.00
OI0100,O0050,2,SKU-MUG-002,Logo Mug,home,2,19.00,38.00
OI0101,O0051,1,SKU-NOTE-007,Notebook,stationery,2,10.00,20.00
OI0102,O0051,2,SKU-CABLE-010,USB-C Cable,electronics,1,16.00,16.00
OI0103,O0052,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,53.00,53.00
OI0104,O0052,2,SKU-BOTTLE-009,Steel Bottle,home,2,20.00,40.00
OI0105,O0053,1,SKU-SPEAKER-011,Bluetooth Speaker,electronics,1,320.00,320.00
OI0106,O0053,2,SKU-CASE-012,Phone Case,electronics,2,130.00,260.00
OI0107,O0054,1,SKU-NOTE-007,Notebook,stationery,1,12.00,12.00
OI0108,O0054,2,SKU-MUG-002,Logo Mug,home,1,13.00,13.00
OI0109,O0055,1,SKU-TSHIRT-001,Classic Tee,apparel,2,17.00,34.00
OI0110,O0055,2,SKU-PEN-013,Premium Pen,stationery,2,15.00,30.00
OI0111,O0056,1,SKU-JACKET-005,Light Jacket,apparel,1,88.00,88.00
OI0112,O0056,2,SKU-CAP-006,Baseball Cap,accessories,1,30.00,30.00
OI0113,O0057,1,SKU-MUG-002,Logo Mug,home,1,19.00,19.00
OI0114,O0057,2,SKU-CABLE-010,USB-C Cable,electronics,1,22.00,22.00
OI0115,O0058,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,31.00,31.00
OI0116,O0058,2,SKU-BOTTLE-009,Steel Bottle,home,1,25.00,25.00
OI0117,O0059,1,SKU-BACKPACK-008,Travel Backpack,accessories,1,101.00,101.00
OI0118,O0059,2,SKU-CAP-006,Baseball Cap,accessories,2,25.00,50.00
OI0119,O0060,1,SKU-NOTE-007,Notebook,stationery,1,14.00,14.00
OI0120,O0060,2,SKU-PEN-013,Premium Pen,stationery,1,19.00,19.00
OI0121,O0061,1,SKU-TSHIRT-001,Classic Tee,apparel,2,22.00,44.00
OI0122,O0061,2,SKU-MUG-002,Logo Mug,home,1,35.00,35.00
OI0123,O0062,1,SKU-NOTE-007,Notebook,stationery,1,13.00,13.00
OI0124,O0062,2,SKU-PEN-013,Premium Pen,stationery,2,16.00,32.00
OI0125,O0063,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,49.00,49.00
OI0126,O0063,2,SKU-BOTTLE-009,Steel Bottle,home,2,19.00,38.00
OI0127,O0064,1,SKU-BACKPACK-008,Travel Backpack,accessories,1,109.00,109.00
OI0128,O0064,2,SKU-CAP-006,Baseball Cap,accessories,2,30.00,60.00
OI0129,O0065,1,SKU-JACKET-005,Light Jacket,apparel,1,62.00,62.00
OI0130,O0065,2,SKU-BOTTLE-009,Steel Bottle,home,1,35.00,35.00
OI0131,O0066,1,SKU-NOTE-007,Notebook,stationery,1,11.00,11.00
OI0132,O0066,2,SKU-MUG-002,Logo Mug,home,1,17.00,17.00
OI0133,O0067,1,SKU-TSHIRT-001,Classic Tee,apparel,1,28.00,28.00
OI0134,O0067,2,SKU-MUG-002,Logo Mug,home,1,33.00,33.00
OI0135,O0068,1,SKU-JACKET-005,Light Jacket,apparel,1,96.00,96.00
OI0136,O0068,2,SKU-CAP-006,Baseball Cap,accessories,2,25.00,50.00
OI0137,O0069,1,SKU-NOTE-007,Notebook,stationery,1,12.00,12.00
OI0138,O0069,2,SKU-PEN-013,Premium Pen,stationery,1,18.00,18.00
OI0139,O0070,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,44.00,44.00
OI0140,O0070,2,SKU-BOTTLE-009,Steel Bottle,home,2,20.00,40.00
OI0141,O0071,1,SKU-BACKPACK-008,Travel Backpack,accessories,1,100.00,100.00
OI0142,O0071,2,SKU-CAP-006,Baseball Cap,accessories,2,18.00,36.00
OI0143,O0072,1,SKU-NOTE-007,Notebook,stationery,1,12.00,12.00
OI0144,O0072,2,SKU-PEN-013,Premium Pen,stationery,1,25.00,25.00
OI0145,O0073,1,SKU-TSHIRT-001,Classic Tee,apparel,2,19.00,38.00
OI0146,O0073,2,SKU-MUG-002,Logo Mug,home,1,31.00,31.00
OI0147,O0074,1,SKU-SPEAKER-011,Bluetooth Speaker,electronics,1,275.00,275.00
OI0148,O0074,2,SKU-CASE-012,Phone Case,electronics,2,90.00,180.00
OI0149,O0075,1,SKU-NOTE-007,Notebook,stationery,1,11.00,11.00
OI0150,O0075,2,SKU-MUG-002,Logo Mug,home,1,12.00,12.00
OI0151,O0076,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,34.00,34.00
OI0152,O0076,2,SKU-BOTTLE-009,Steel Bottle,home,1,25.00,25.00
OI0153,O0077,1,SKU-JACKET-005,Light Jacket,apparel,1,87.00,87.00
OI0154,O0077,2,SKU-CAP-006,Baseball Cap,accessories,2,20.00,40.00
OI0155,O0078,1,SKU-NOTE-007,Notebook,stationery,1,14.00,14.00
OI0156,O0078,2,SKU-PEN-013,Premium Pen,stationery,2,13.00,26.00
OI0157,O0079,1,SKU-TSHIRT-001,Classic Tee,apparel,2,21.00,42.00
OI0158,O0079,2,SKU-MUG-002,Logo Mug,home,2,20.00,40.00
OI0159,O0080,1,SKU-NOTE-007,Notebook,stationery,1,13.00,13.00
OI0160,O0080,2,SKU-PEN-013,Premium Pen,stationery,1,21.00,21.00
OI0161,O0081,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,47.00,47.00
OI0162,O0081,2,SKU-BOTTLE-009,Steel Bottle,home,2,22.50,45.00
OI0163,O0082,1,SKU-BACKPACK-008,Travel Backpack,accessories,1,103.00,103.00
OI0164,O0082,2,SKU-CAP-006,Baseball Cap,accessories,2,27.50,55.00
OI0165,O0083,1,SKU-NOTE-007,Notebook,stationery,1,12.00,12.00
OI0166,O0083,2,SKU-PEN-013,Premium Pen,stationery,1,31.00,31.00
OI0167,O0084,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,51.00,51.00
OI0168,O0084,2,SKU-CABLE-010,USB-C Cable,electronics,1,25.00,25.00
OI0169,O0085,1,SKU-JACKET-005,Light Jacket,apparel,1,99.00,99.00
OI0170,O0085,2,SKU-CAP-006,Baseball Cap,accessories,2,21.00,42.00
OI0171,O0086,1,SKU-TSHIRT-001,Classic Tee,apparel,1,30.00,30.00
OI0172,O0086,2,SKU-MUG-002,Logo Mug,home,2,17.50,35.00
OI0173,O0087,1,SKU-SPEAKER-011,Bluetooth Speaker,electronics,1,220.00,220.00
OI0174,O0087,2,SKU-CASE-012,Phone Case,electronics,2,85.00,170.00
OI0175,O0088,1,SKU-NOTE-007,Notebook,stationery,1,14.00,14.00
OI0176,O0088,2,SKU-PEN-013,Premium Pen,stationery,2,17.00,34.00
OI0177,O0089,1,SKU-JACKET-005,Light Jacket,apparel,1,74.00,74.00
OI0178,O0089,2,SKU-CAP-006,Baseball Cap,accessories,2,20.00,40.00
OI0179,O0090,1,SKU-NOTE-007,Notebook,stationery,1,12.00,12.00
OI0180,O0090,2,SKU-MUG-002,Logo Mug,home,1,15.00,15.00
OI0181,O0091,1,SKU-TSHIRT-001,Classic Tee,apparel,1,27.00,27.00
OI0182,O0091,2,SKU-MUG-002,Logo Mug,home,2,17.50,35.00
OI0183,O0092,1,SKU-BACKPACK-008,Travel Backpack,accessories,1,102.00,102.00
OI0184,O0092,2,SKU-CAP-006,Baseball Cap,accessories,2,25.50,51.00
OI0185,O0093,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,46.00,46.00
OI0186,O0093,2,SKU-BOTTLE-009,Steel Bottle,home,2,20.00,40.00
OI0187,O0094,1,SKU-TSHIRT-001,Classic Tee,apparel,1,25.00,25.00
OI0188,O0094,2,SKU-PEN-013,Premium Pen,stationery,2,15.00,30.00
OI0189,O0095,1,SKU-JACKET-005,Light Jacket,apparel,1,98.00,98.00
OI0190,O0095,2,SKU-CAP-006,Baseball Cap,accessories,2,34.00,68.00
OI0191,O0096,1,SKU-NOTE-007,Notebook,stationery,1,11.00,11.00
OI0192,O0096,2,SKU-MUG-002,Logo Mug,home,2,10.00,20.00
OI0193,O0097,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,60.00,60.00
OI0194,O0097,2,SKU-BOTTLE-009,Steel Bottle,home,1,35.00,35.00
OI0195,O0098,1,SKU-JACKET-005,Light Jacket,apparel,1,86.00,86.00
OI0196,O0098,2,SKU-CAP-006,Baseball Cap,accessories,2,17.50,35.00
OI0197,O0099,1,SKU-NOTE-007,Notebook,stationery,1,13.00,13.00
OI0198,O0099,2,SKU-PEN-013,Premium Pen,stationery,1,16.00,16.00
OI0199,O0100,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,49.00,49.00
OI0200,O0100,2,SKU-BOTTLE-009,Steel Bottle,home,2,19.50,39.00
OI0201,O0101,1,SKU-NOTE-007,Notebook,stationery,2,12.00,24.00
OI0202,O0101,2,SKU-MUG-002,Logo Mug,home,1,0.00,0.00
OI0203,O0102,1,SKU-JACKET-005,Light Jacket,apparel,1,99.00,99.00
OI0204,O0102,2,SKU-CAP-006,Baseball Cap,accessories,2,19.00,38.00
OI0205,O0103,1,SKU-SPEAKER-011,Bluetooth Speaker,electronics,1,260.00,260.00
OI0206,O0103,2,SKU-CASE-012,Phone Case,electronics,2,90.00,180.00
OI0207,O0104,1,SKU-NOTE-007,Notebook,stationery,1,14.00,14.00
OI0208,O0104,2,SKU-PEN-013,Premium Pen,stationery,2,14.00,28.00
OI0209,O0105,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,52.00,52.00
OI0210,O0105,2,SKU-BOTTLE-009,Steel Bottle,home,1,27.00,27.00
OI0211,O0106,1,SKU-TSHIRT-001,Classic Tee,apparel,2,18.00,36.00
OI0212,O0106,2,SKU-MUG-002,Logo Mug,home,2,16.00,32.00
OI0213,O0107,1,SKU-MUG-002,Logo Mug,home,1,22.00,22.00
OI0214,O0107,2,SKU-CABLE-010,USB-C Cable,electronics,1,35.00,35.00
OI0215,O0108,1,SKU-BACKPACK-008,Travel Backpack,accessories,1,108.00,108.00
OI0216,O0108,2,SKU-CAP-006,Baseball Cap,accessories,2,20.00,40.00
OI0217,O0109,1,SKU-TSHIRT-001,Classic Tee,apparel,1,28.00,28.00
OI0218,O0109,2,SKU-MUG-002,Logo Mug,home,2,17.50,35.00
OI0219,O0110,1,SKU-NOTE-007,Notebook,stationery,1,12.00,12.00
OI0220,O0110,2,SKU-PEN-013,Premium Pen,stationery,1,14.00,14.00
OI0221,O0111,1,SKU-JACKET-005,Light Jacket,apparel,1,83.00,83.00
OI0222,O0111,2,SKU-CAP-006,Baseball Cap,accessories,1,27.00,27.00
OI0223,O0112,1,SKU-NOTE-007,Notebook,stationery,2,11.00,22.00
OI0224,O0112,2,SKU-MUG-002,Logo Mug,home,1,24.00,24.00
OI0225,O0113,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,48.00,48.00
OI0226,O0113,2,SKU-BOTTLE-009,Steel Bottle,home,1,35.00,35.00
OI0227,O0114,1,SKU-NOTE-007,Notebook,stationery,1,17.00,17.00
OI0228,O0114,2,SKU-PEN-013,Premium Pen,stationery,1,18.00,18.00
OI0229,O0115,1,SKU-JACKET-005,Light Jacket,apparel,1,92.00,92.00
OI0230,O0115,2,SKU-CAP-006,Baseball Cap,accessories,2,17.00,34.00
OI0231,O0116,1,SKU-MUG-002,Logo Mug,home,1,16.00,16.00
OI0232,O0116,2,SKU-CABLE-010,USB-C Cable,electronics,1,25.00,25.00
OI0233,O0117,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,33.00,33.00
OI0234,O0117,2,SKU-BOTTLE-009,Steel Bottle,home,1,25.00,25.00
OI0235,O0118,1,SKU-BACKPACK-008,Travel Backpack,accessories,1,107.00,107.00
OI0236,O0118,2,SKU-CAP-006,Baseball Cap,accessories,2,27.50,55.00
OI0237,O0119,1,SKU-JACKET-005,Light Jacket,apparel,1,69.00,69.00
OI0238,O0119,2,SKU-BOTTLE-009,Steel Bottle,home,1,35.00,35.00
OI0239,O0120,1,SKU-TSHIRT-001,Classic Tee,apparel,1,23.00,23.00
OI0240,O0120,2,SKU-MUG-002,Logo Mug,home,2,15.00,30.00
OI0241,O0121,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,51.00,51.00
OI0242,O0121,2,SKU-BOTTLE-009,Steel Bottle,home,1,30.00,30.00
OI0243,O0122,1,SKU-TSHIRT-001,Classic Tee,apparel,2,18.00,36.00
OI0244,O0122,2,SKU-MUG-002,Logo Mug,home,2,18.00,36.00
OI0245,O0123,1,SKU-JACKET-005,Light Jacket,apparel,1,89.00,89.00
OI0246,O0123,2,SKU-CAP-006,Baseball Cap,accessories,1,30.00,30.00
OI0247,O0124,1,SKU-NOTE-007,Notebook,stationery,1,13.00,13.00
OI0248,O0124,2,SKU-PEN-013,Premium Pen,stationery,1,15.00,15.00
OI0249,O0125,1,SKU-BACKPACK-008,Travel Backpack,accessories,1,101.00,101.00
OI0250,O0125,2,SKU-CAP-006,Baseball Cap,accessories,2,19.00,38.00
OI0251,O0126,1,SKU-MUG-002,Logo Mug,home,1,21.00,21.00
OI0252,O0126,2,SKU-CABLE-010,USB-C Cable,electronics,1,26.00,26.00
OI0253,O0127,1,SKU-TSHIRT-001,Classic Tee,apparel,2,19.00,38.00
OI0254,O0127,2,SKU-BOTTLE-009,Steel Bottle,home,1,26.00,26.00
OI0255,O0128,1,SKU-SPEAKER-011,Bluetooth Speaker,electronics,1,340.00,340.00
OI0256,O0128,2,SKU-CASE-012,Phone Case,electronics,1,190.00,190.00
OI0257,O0129,1,SKU-NOTE-007,Notebook,stationery,1,15.00,15.00
OI0258,O0129,2,SKU-PEN-013,Premium Pen,stationery,1,18.00,18.00
OI0259,O0130,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,50.00,50.00
OI0260,O0130,2,SKU-CABLE-010,USB-C Cable,electronics,1,26.00,26.00
OI0261,O0131,1,SKU-JACKET-005,Light Jacket,apparel,1,103.00,103.00
OI0262,O0131,2,SKU-CAP-006,Baseball Cap,accessories,2,27.00,54.00
OI0263,O0132,1,SKU-MUG-002,Logo Mug,home,1,29.00,29.00
OI0264,O0132,2,SKU-PEN-013,Premium Pen,stationery,2,16.00,32.00
OI0265,O0133,1,SKU-NOTE-007,Notebook,stationery,1,10.00,10.00
OI0266,O0133,2,SKU-MUG-002,Logo Mug,home,1,15.00,15.00
OI0267,O0134,1,SKU-BACKPACK-008,Travel Backpack,accessories,1,104.00,104.00
OI0268,O0134,2,SKU-CAP-006,Baseball Cap,accessories,2,20.00,40.00
OI0269,O0135,1,SKU-TSHIRT-001,Classic Tee,apparel,1,22.00,22.00
OI0270,O0135,2,SKU-MUG-002,Logo Mug,home,2,15.00,30.00
OI0271,O0136,1,SKU-NOTE-007,Notebook,stationery,1,14.00,14.00
OI0272,O0136,2,SKU-PEN-013,Premium Pen,stationery,2,12.50,25.00
OI0273,O0137,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,54.00,54.00
OI0274,O0137,2,SKU-BOTTLE-009,Steel Bottle,home,2,19.00,38.00
OI0275,O0138,1,SKU-JACKET-005,Light Jacket,apparel,1,61.00,61.00
OI0276,O0138,2,SKU-CAP-006,Baseball Cap,accessories,2,13.00,26.00
OI0277,O0139,1,SKU-BACKPACK-008,Travel Backpack,accessories,1,99.00,99.00
OI0278,O0139,2,SKU-CAP-006,Baseball Cap,accessories,1,24.00,24.00
OI0279,O0140,1,SKU-MUG-002,Logo Mug,home,1,18.00,18.00
OI0280,O0140,2,SKU-PEN-013,Premium Pen,stationery,2,12.50,25.00
OI0281,O0141,1,SKU-TSHIRT-001,Classic Tee,apparel,2,17.00,34.00
OI0282,O0141,2,SKU-BOTTLE-009,Steel Bottle,home,1,33.00,33.00
OI0283,O0142,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,58.00,58.00
OI0284,O0142,2,SKU-CABLE-010,USB-C Cable,electronics,2,20.00,40.00
OI0285,O0143,1,SKU-BACKPACK-008,Travel Backpack,accessories,1,111.00,111.00
OI0286,O0143,2,SKU-CAP-006,Baseball Cap,accessories,2,30.00,60.00
OI0287,O0144,1,SKU-SPEAKER-011,Bluetooth Speaker,electronics,1,245.00,245.00
OI0288,O0144,2,SKU-CASE-012,Phone Case,electronics,2,80.00,160.00
OI0289,O0145,1,SKU-NOTE-007,Notebook,stationery,1,14.00,14.00
OI0290,O0145,2,SKU-PEN-013,Premium Pen,stationery,2,11.00,22.00
OI0291,O0146,1,SKU-JACKET-005,Light Jacket,apparel,1,109.00,109.00
OI0292,O0146,2,SKU-CAP-006,Baseball Cap,accessories,2,21.00,42.00
OI0293,O0147,1,SKU-NOTE-007,Notebook,stationery,1,13.00,13.00
OI0294,O0147,2,SKU-MUG-002,Logo Mug,home,1,16.00,16.00
OI0295,O0148,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,44.00,44.00
OI0296,O0148,2,SKU-CABLE-010,USB-C Cable,electronics,2,20.00,40.00
OI0297,O0149,1,SKU-JACKET-005,Light Jacket,apparel,1,89.00,89.00
OI0298,O0149,2,SKU-CAP-006,Baseball Cap,accessories,2,20.00,40.00
OI0299,O0150,1,SKU-NOTE-007,Notebook,stationery,1,11.00,11.00
OI0300,O0150,2,SKU-MUG-002,Logo Mug,home,1,12.00,12.00
OI0301,O0151,1,SKU-TSHIRT-001,Classic Tee,apparel,1,27.00,27.00
OI0302,O0151,2,SKU-BOTTLE-009,Steel Bottle,home,1,30.00,30.00
OI0303,O0152,1,SKU-MUG-002,Logo Mug,home,2,15.00,30.00
OI0304,O0152,2,SKU-PEN-013,Premium Pen,stationery,1,18.00,18.00
OI0305,O0153,1,SKU-HOODIE-003,Zip Hoodie,apparel,1,55.00,55.00
OI0306,O0153,2,SKU-BOTTLE-009,Steel Bottle,home,2,23.00,46.00
OI0307,O0154,1,SKU-BACKPACK-008,Travel Backpack,accessories,1,108.00,108.00
OI0308,O0154,2,SKU-CAP-006,Baseball Cap,accessories,2,27.50,55.00
OI0309,O0155,1,SKU-JACKET-005,Light Jacket,apparel,1,63.00,63.00
OI0310,O0155,2,SKU-BOTTLE-009,Steel Bottle,home,1,31.00,31.00
OI0311,O0156,1,SKU-NOTE-007,Notebook,stationery,1,15.00,15.00
OI0312,O0156,2,SKU-PEN-013,Premium Pen,stationery,1,16.00,16.00
OI0313,O0157,1,SKU-TSHIRT-001,Classic Tee,apparel,2,18.00,36.00
OI0314,O0157,2,SKU-MUG-002,Logo Mug,home,2,25.00,50.00
OI0315,O0158,1,SKU-SPEAKER-011,Bluetooth Speaker,electronics,1,360.00,360.00
OI0316,O0158,2,SKU-CASE-012,Phone Case,electronics,2,100.00,200.00
OI0317,O0159,1,SKU-NOTE-007,Notebook,stationery,1,12.00,12.00
OI0318,O0159,2,SKU-MUG-002,Logo Mug,home,1,12.00,12.00
OI0319,O0160,1,SKU-MUG-002,Logo Mug,home,2,16.00,32.00
OI0320,O0160,2,SKU-PEN-013,Premium Pen,stationery,2,15.50,31.00
OI0321,O0161,1,SKU-TSHIRT-001,Classic Tee,apparel,1,18.00,18.00
OI0322,O0161,2,SKU-CABLE-010,USB-C Cable,electronics,1,26.00,26.00
